id,file,date,bursts,title
D1,DataInventory.md,2026-07-31,,"### D1 — A single-matrix DRM is valid where its OFF-AXIS ANGLE is valid, not where its TSTART/TSTOP are *(2026"
D2,DataInventory.md,,,### D2 — One glob does not fit all detector classes *(same batch)*
D3,DataInventory.md,,,### D3 — TRIGTIME is not in the pointing file *(same batch)*
D4,DataInventory.md,2026-08-08,bn120624933,"### D4 — a detection is a statement about an INTERVAL, and the trigger time is not the burst start *(bn1206249"
D5,DataInventory.md,2026-08-09,bn130518580,"### D5 — BLOCKAGE is invisible to the angle rule; catch it in the residuals *(bn130518580 vs Siddique+2022, 20"
G1,GCNIntelligence.md,2026-07-29,bn081125496,"### G1 — Per-burst filenames CARRY THE TRIGGER ID *(Vikas correction, 2026-07-29, bn081125496)*"
G2,GCNIntelligence.md,2026-07-30,,"### G2 — DEDUPLICATE the paper corpus across bursts (sample papers repeat) *(Vikas, 2026-07-30)*"
L1,SpectralFitting.md,2026-07-22,bn160625945,"### L1 — Episode identity before any comparison *(source: bn160625945, 2026-07-22)*"
L10,SpectralFitting.md,2026-07-24,,"### L10 — The ratio-unfolded νFν panel is a mandatory eye-diagnostic (hypothesis-GENERATION, never the test) *"
L11,SpectralFitting.md,2026-07-24,,"### L11 — Residual GRAMMAR: the correlation structure names the missing component *(taught by Vikas, 2026-07-2"
L12,SpectralFitting.md,2026-07-18,,"### L12 — Shape-similar models compete as ONE class; a win is a SHAPE verdict *(doctrine, Vikas 2026-07-18/29)"
L13,SpectralFitting.md,2026-07-29,,### L13 — Burst-level component ADMISSION for evolution studies (the Burgess rule) *(adopted by Vikas 2026-07-
L15,SpectralFitting.md,2026-08-04,bn130310840,"### L15 — A RAILED shape parameter does NOT invalidate a DERIVED physical quantity *(Vikas, 2026-08-04, bn1303"
L16,SpectralFitting.md,2026-08-04,,"### L16 — ΔAIC is an EVIDENCE RATIO; grade it, don't threshold it — and our two gates were inconsistent *(Vika"
L17,SpectralFitting.md,2026-08-05,bn120624933,"### L17 — DETECTION significance is the WRONG gate for INCLUDING a detector in a joint fit *(Vikas, 2026-08-05"
L18,SpectralFitting.md,2026-08-08,bn110721200,### L18 — EVERY model family needs an unconditional multistart — a bound-widening fix must be re-validated on 
L19,SpectralFitting.md,2026-08-08,,"### L19 — a nested LRT ≤ −0.5 is not a non-detection; NaN it and stamp it *(demo blk1 + blk0 of demo/b4, 2026-"
L2,SpectralFitting.md,,,"### L2 — ""The literature"" can disagree with itself; diff per camp"
L20,SpectralFitting.md,2026-08-08,bn130518580,### L20 — restore the model to the best fit BEFORE evaluating derived curves *(bn130518580 blk8/blk14 + 13/19 
L21,SpectralFitting.md,2026-08-08,bn081224887,"### L21 — FRAME-ALIGN before you diff: ""Ep"" in a table may be Ec, and a sign may be flipped *(bn081224887 reco"
L22,SpectralFitting.md,2026-08-08,bn081224887,### L22 — a published component claim is a claim about the CONTINUUM it was measured against — and citation ch
L23,SpectralFitting.md,2026-08-08,bn130310840,### L23 — agreement can be a SHARED BAD MINIMUM; independence counts at the PRIMITIVE *(bn130310840 slice c + 
L24,SpectralFitting.md,2026-08-08,bn130518580,### L24 — an EVOLVING component rails in the INTEGRATED fit; a railed T_INT BB with valid resolved kT is a BRO
L25,SpectralFitting.md,2026-08-08,bn130518580,### L25 — the DSBPL low break and the blackbody are frequently ONE feature; test xb vs 3.92·kT every time *(bn
L27,SpectralFitting.md,2026-08-10,bn090530760,### L27 — the rail test must respect parameter GEOMETRY: linear margins on log-spanning bounds disqualify soft
L3,SpectralFitting.md,,,### L3 — High-energy components need per-bin high-energy statistics
L4,SpectralFitting.md,,,### L4 — The multiplicative cutoff is continuum-degenerate below the GBM/LLE band
L5,SpectralFitting.md,,,### L5 — A railed fit can BEAT its parent and dodge the rescue machinery
L6,SpectralFitting.md,,,### L6 — Bin adequacy gates the census
L6,SpectralFitting.md,2026-07-30,,"### L6b — Significance is the JOINT-fit quantity, a QUALITY FLAG not a hard cut; floor S≥10 (single-det) ≈ Yu'"
L7,SpectralFitting.md,2026-07-24,bn160625945,"### L7 — Paper prescriptions: check, but they're often NOT the cause *(resolved 2026-07-24, bn160625945)*"
L8,SpectralFitting.md,2026-07-24,bn160625945,"### L8 — Degenerate-rail models need a DEFAULT-SEED restart, not only parent/T_INT seeds *(source: bn160625945"
L9,SpectralFitting.md,2026-07-24,bn110721200,"### L9 — Parameter bounds are physics decisions; simultaneous railing = BOUND_CAPPED, not INCONCLUSIVE *(sourc"
